transcript	gene	length	cds_start	cds_stop	orf_start	orf_stop	tx_count_for_gene
ENST00000417068	ADIPOR1	1058	260	1058	120	363	5
ENST00000426229	ADIPOR1	879	263	879	123	366	5
ENST00000367240	PPFIA4	6434	528	4088	243	384	13
ENST00000639812	None	None	None	None	2784	2919	0
ENST00000495527	ZC3H11A	8404	4317	6275	308	443	13
ENST00000367188	PPP1R15B	5227	381	2522	150	306	1
ENST00000358024	TMCC2	3738	390	2519	311	515	9
ENST00000607826	KLHDC8A	523	275	523	240	390	12
ENST00000367145	SLC45A3	3341	297	1958	165	264	2
ENST00000367137	SLC41A1	4997	1016	2557	831	936	4
ENST00000623597	RAB7B	2330	289	888	246	393	5
ENST00000617991	RAB7B	3014	305	904	262	409	5
ENST00000479796	TRAF3IP3	540	463	540	326	467	16
ENST00000478359	TRAF3IP3	1860	404	1465	267	408	16
ENST00000367026	TRAF3IP3	2058	291	1886	154	295	16
ENST00000367024	TRAF3IP3	2331	517	2172	380	521	16
ENST00000400959	TRAF3IP3	1854	438	1652	301	442	16
ENST00000367025	TRAF3IP3	2243	421	2076	284	425	16
ENST00000367002	RD3	4266	1165	1752	774	966	2
ENST00000366991	DTL	4573	315	2507	108	219	6
ENST00000542077	DTL	4471	339	2405	132	243	6
ENST00000366987	ATF3	1917	155	700	64	250	11
ENST00000366981	ATF3	680	155	680	64	250	11
ENST00000360012	ESRRG	5431	439	1746	144	375	24
ENST00000475275	ESRRG	1464	402	1464	284	428	24
ENST00000391890	ESRRG	5542	542	1849	424	568	24
ENST00000469486	ESRRG	583	306	583	173	332	24
ENST00000427693	HLX	695	241	695	218	344	3
ENST00000359525	LIN9	686	474	686	406	535	5
ENST00000366779	ADCK3	5523	2772	4715	2069	2810	9
ENST00000255380	CHRM3	8780	780	2552	268	454	7
ENST00000348581	EXO1	3192	315	2855	80	188	12
ENST00000523590	EXO1	621	337	621	102	210	12
ENST00000423131	EXO1	950	444	950	209	317	12
ENST00000366548	EXO1	3473	594	3134	254	362	12
ENST00000366513	CNST	5126	270	2447	4	133	4
ENST00000648844	None	None	None	None	40	142	0
ENST00000294753	ZNF496	5336	466	2229	137	374	5
ENST00000366491	GCSAML	4130	498	845	136	538	11
ENST00000366472	SH3BP5L	3861	1231	2412	897	1074	4
ENST00000505503	ZNF672	583	573	583	373	508	7
ENST00000370721	ADGRL2	5023	646	4800	81	252	22
ENST00000370723	ADGRL2	5254	646	5031	81	252	22
ENST00000370725	ADGRL2	5293	646	5070	81	252	22
ENST00000370728	ADGRL2	6302	646	5025	81	252	22
ENST00000370730	ADGRL2	6173	646	4896	81	252	22
ENST00000370727	ADGRL2	5164	646	4941	81	252	22
ENST00000382125	TSSC1	1766	194	1357	2	98	14
ENST00000382093	ADI1	3870	2839	3360	26	359	3
ENST00000433456	RNF144A	392	228	392	29	383	7
ENST00000389825	GREB1	1315	312	1073	242	392	10
ENST00000425416	LPIN1	5582	278	2968	115	211	19
ENST00000396097	LPIN1	5690	278	3076	115	211	19
ENST00000396099	LPIN1	3228	363	2468	195	291	19
ENST00000396098	LPIN1	1761	363	1742	195	291	19
ENST00000381341	DDX1	2817	390	2612	146	425	8
ENST00000233084	DDX1	2739	314	2536	70	349	8
ENST00000434671	DDX1	500	452	500	208	487	8
ENST00000406434	FAM49A	1386	415	1386	261	366	5
ENST00000407684	GAREM2	5138	1757	3751	90	186	3
ENST00000333478	ADGRF3	3896	584	3205	84	189	9
ENST00000447444	ADGRF3	3493	584	3205	84	189	9
ENST00000435303	ADGRF3	3620	510	872	10	115	9
ENST00000302909	KCNK3	6162	126	1310	31	130	2
ENST00000458529	MAPRE3	878	225	878	118	256	9
ENST00000402218	MAPRE3	1001	194	994	87	225	9
ENST00000335524	PRR30	2008	527	1765	307	430	2
ENST00000432962	PRR30	832	520	832	300	423	2
ENST00000403687	RASGRP3	4807	741	2813	272	392	18
ENST00000426481	PREPL	6273	960	3143	846	942	16
ENST00000425263	PREPL	5657	960	3143	846	942	16
ENST00000260648	PREPL	3672	960	3143	846	942	16
ENST00000409936	PREPL	5212	439	2622	325	421	16
ENST00000538136	MSH6	4055	794	3970	238	337	15
ENST00000614496	MSH6	4150	889	4065	499	598	15
ENST00000622629	MSH6	4324	3249	4232	499	598	15
ENST00000413569	FOXN2	932	193	932	24	177	3
ENST00000342183	NRXN1	3315	806	2134	598	694	67
ENST00000401710	NRXN1	2873	818	2236	610	706	67
ENST00000611589	NRXN1	1857	959	1555	98	194	67
ENST00000628364	NRXN1	2444	848	2257	640	736	67
ENST00000435505	VRK2	2446	746	2272	599	716	9
ENST00000648897	None	None	None	None	793	910	0
ENST00000417641	VRK2	2381	628	1818	481	598	9
ENST00000417641	VRK2	2381	628	1818	73	304	9
ENST00000431489	EHBP1	5076	607	4089	193	310	20
ENST00000263991	EHBP1	5165	483	4178	69	186	20
ENST00000238855	AFTPH	4113	341	3151	29	233	7
ENST00000238856	AFTPH	4040	341	3070	29	233	7
ENST00000475743	ZNF638	590	321	590	208	496	27
ENST00000464375	ZNF638	626	333	626	220	508	27
ENST00000409088	LRRTM4	3616	416	1972	314	410	7
ENST00000409884	LRRTM4	2227	313	2085	211	307	7
ENST00000409511	CD8A	3048	1032	1739	684	894	4
ENST00000419748	EIF2AK3	4222	330	3227	211	334	6
ENST00000427946	NCAPH	2363	190	2007	35	182	7
ENST00000454558	ARID5A	3079	1178	2758	91	406	6
ENST00000438709	ANKRD36B	6067	1325	4423	411	552	8
ENST00000289371	EIF5B	5777	203	3865	14	119	5
ENST00000393283	RGPD5	3304	534	3248	263	647	13
ENST00000409052	IL1RN	1903	472	903	209	380	9
ENST00000417645	TMEM37	522	323	522	42	168	4
ENST00000424086	TMEM177	1738	474	1409	101	341	6
ENST00000445518	TMEM177	791	450	791	77	317	6
ENST00000544369	GPR17	2598	612	1715	92	215	6
ENST00000264159	ZRANB3	4046	118	3357	4	94	11
ENST00000638128	ZEB2	8932	695	3562	327	552	46
ENST00000437627	LYPD6B	528	213	365	83	191	11
ENST00000450639	LYPD6B	484	198	422	68	176	11
ENST00000418762	LYPD6	1204	132	362	13	118	5
ENST00000334166	LYPD6	4071	258	773	139	244	5
ENST00000295087	ARL5A	5326	313	852	86	257	7
ENST00000410096	ERMN	3793	293	1147	69	183	9
ENST00000409395	ERMN	1466	232	486	8	122	9
ENST00000419116	ERMN	594	260	594	36	150	9
ENST00000602501	DHRS9	2863	1504	2463	934	1150	8
ENST00000397087	RAPGEF4	4120	391	2994	353	623	15
ENST00000392552	GPR155	6730	240	2852	126	234	6
ENST00000614352	GPR155	7321	248	2776	134	242	6
ENST00000429017	HOXD8	1608	205	525	71	182	4
ENST00000190611	OSBPL6	10513	377	3181	274	391	9
ENST00000409045	OSBPL6	3427	503	3214	400	517	9
ENST00000409631	OSBPL6	3273	351	3047	248	365	9
ENST00000359685	OSBPL6	7114	545	3241	442	559	9
ENST00000392505	OSBPL6	3637	545	3424	442	559	9
ENST00000357080	OSBPL6	2217	526	2052	423	540	9
ENST00000409692	ZNF385B	2109	301	1410	216	357	13
ENST00000392328	MFSD6	4797	325	2700	36	129	10
ENST00000417958	MFSD6	517	391	517	36	129	10
ENST00000432036	MFSD6	546	203	546	36	129	10
ENST00000392314	TMEFF2	2842	393	1433	211	391	4
ENST00000295049	RFTN2	5827	538	2043	352	520	4
ENST00000410039	ORC2	546	219	546	40	223	7
ENST00000459709	KIAA2012	2138	340	2138	3	105	5
ENST00000438828	CARF	3574	832	3009	395	545	20
ENST00000411719	GPR1	603	383	603	64	184	10
ENST00000407325	GPR1	2295	364	1431	41	161	10
ENST00000612892	GPR1	2565	638	1705	64	184	10
ENST00000449792	MDH1B	1757	237	1499	91	241	6
ENST00000423952	C2ORF80	460	210	460	107	197	7
ENST00000392133	XRCC5	3761	462	2660	160	451	10
ENST00000273067	MARCH4	4447	1768	3000	873	1032	1
ENST00000444508	SMARCAL1	711	321	711	189	285	13
ENST00000457754	RUFY4	3568	1433	1951	816	966	10
ENST00000233202	SLC11A1	3852	341	1993	82	199	18
ENST00000449707	ZNF142	5909	423	5486	127	292	7
ENST00000392109	BCS1L	1583	267	1526	105	228	20
ENST00000447205	TUBA4A	648	189	648	152	242	10
ENST00000392088	TUBA4A	2499	557	1858	520	610	10
ENST00000427737	TUBA4A	940	400	940	363	453	10
ENST00000423636	PTPRN	3313	259	2928	32	305	19
ENST00000442029	PTPRN	541	282	541	55	328	19
ENST00000540870	AC009950.1	1668	1	1668	64	202	1
ENST00000258400	HTR2B	2246	514	1959	118	271	1
ENST00000409625	TRPM8	722	124	621	89	293	14
ENST00000433712	TRPM8	5291	764	3025	237	441	14
ENST00000612395	ESPNL	3673	2358	2780	2145	2349	6
ENST00000612395	ESPNL	3673	2358	2780	615	924	6
ENST00000402734	PPP1R7	883	114	779	85	187	20
ENST00000423280	PPP1R7	959	93	959	64	166	20
ENST00000272983	PPP1R7	1954	839	1792	120	408	20
ENST00000407025	PPP1R7	1592	309	1391	166	265	20
ENST00000234038	PPP1R7	2386	475	1557	332	431	20
ENST00000272983	PPP1R7	1954	839	1792	696	795	20
ENST00000310931	HDLBP	4571	376	4182	52	292	47
ENST00000543554	STK25	2556	603	1601	244	337	35
ENST00000440109	STK25	935	761	935	402	495	35
ENST00000543554	STK25	2556	603	1601	144	294	35
ENST00000440109	STK25	935	761	935	302	452	35
ENST00000402096	ATG4B	1685	326	1321	237	348	26
ENST00000419606	ATG4B	553	355	553	266	377	26
ENST00000588123	NFE2L2	814	376	814	226	316	14
ENST00000427741	CNTN4	3057	634	1332	174	438	17
ENST00000317371	SSUH2	2561	1227	2288	918	1065	17
ENST00000417036	THUMPD3	730	609	730	454	556	10
ENST00000515662	THUMPD3	2390	685	2208	327	429	10
ENST00000383826	OGG1	1069	201	788	16	250	18
ENST00000302008	OGG1	2191	215	1285	30	264	18
ENST00000302003	OGG1	1655	344	1576	159	393	18
ENST00000449570	OGG1	1948	216	1184	31	265	18
ENST00000344629	OGG1	1744	344	1381	159	393	18
ENST00000425665	OGG1	930	205	363	20	254	18
ENST00000339511	OGG1	1815	307	1281	122	356	18
ENST00000302036	OGG1	2220	344	1618	159	393	18
ENST00000349503	OGG1	1950	344	1417	159	393	18
ENST00000444427	IL17RE	952	86	658	46	151	11
ENST00000454190	IL17RE	2757	86	1687	46	151	11
ENST00000454992	IL17RE	571	52	571	12	117	11
ENST00000383815	IL17RE	2808	84	644	44	149	11
ENST00000434065	IL17RE	2541	86	526	46	151	11
ENST00000383814	IL17RE	2704	106	2109	66	171	11
ENST00000287766	SLC6A1	4502	422	2221	196	358	5
ENST00000646072	None	None	None	None	144	306	0
ENST00000645575	None	None	None	None	145	307	0
ENST00000460480	SLC6A1	457	None	None	91	253	5
ENST00000646487	None	None	None	None	85	247	0
ENST00000425938	SLC6A1	472	357	472	158	320	5
ENST00000643396	None	None	None	None	2483	2594	0
ENST00000645974	None	None	None	None	442	553	0
ENST00000642820	None	None	None	None	323	434	0
ENST00000646570	None	None	None	None	448	559	0
ENST00000642735	None	None	None	None	252	363	0
ENST00000646924	None	None	None	None	278	389	0
ENST00000287814	TIMP4	1650	512	1186	312	402	1
ENST00000295767	CHCHD4	1603	326	793	229	382	3
ENST00000543601	FGD5	5768	834	4370	709	1129	6
ENST00000437172	BTD	2097	233	1870	58	229	12
ENST00000437509	GALNT15	2416	444	2297	187	379	6
ENST00000339732	GALNT15	4669	504	2423	247	439	6
ENST00000285083	OXNAD1	3929	466	1404	331	439	9
ENST00000435829	OXNAD1	1643	417	1409	320	428	9
ENST00000452581	OXNAD1	960	432	602	297	405	9
ENST00000442255	OXNAD1	1994	458	673	323	431	9
ENST00000605932	OXNAD1	1681	463	1401	328	436	9
ENST00000627468	OXNAD1	3983	467	1459	370	478	9
ENST00000606098	OXNAD1	2288	199	1134	64	172	9
ENST00000253692	TBC1D5	7854	1666	4053	493	694	30
ENST00000253692	TBC1D5	7854	1666	4053	654	816	30
ENST00000263754	KAT2B	4833	456	2954	105	201	5
ENST00000416420	THRB	2571	510	1895	9	222	12
ENST00000396671	THRB	7506	397	1782	20	233	12
ENST00000646209	None	None	None	None	26	239	0
ENST00000418247	THRB	592	404	592	1	214	12
ENST00000438374	LRRFIP2	560	358	560	207	309	20
ENST00000436858	LRRFIP2	389	213	389	62	164	20
ENST00000412814	CX3CR1	559	241	559	99	258	6
ENST00000541347	CX3CR1	3255	241	1308	99	258	6
ENST00000433647	VIPR1	3161	625	1875	323	509	17
ENST00000617821	NKTR	7319	1073	4561	969	1065	19
ENST00000539217	LZTFL1	4113	336	1106	111	201	16
ENST00000536047	LZTFL1	4342	500	1348	111	201	16
ENST00000635452	ATRIP	2197	None	None	343	448	11
ENST00000492235	TREX1	696	None	None	310	415	6
ENST00000433541	TREX1	1105	533	1060	489	594	6
ENST00000444177	TREX1	1200	243	1157	197	515	6
ENST00000343546	P4HTM	2268	369	2060	71	404	12
ENST00000383729	P4HTM	2127	372	1880	74	407	12
ENST00000451378	NDUFAF3	774	275	658	216	312	6
ENST00000326912	NDUFAF3	705	207	590	148	244	6
ENST00000427987	AMT	1646	139	1155	110	281	57
ENST00000636865	AMT	1914	148	1203	119	290	57
ENST00000538581	AMT	2038	210	1277	181	352	57
ENST00000541308	DAG1	5676	570	3257	374	536	22
ENST00000452317	DAG1	547	425	547	229	391	22
ENST00000320295	HYAL1	2324	428	1735	3	138	9
ENST00000446775	IQCF3	1241	747	1211	532	793	9
ENST00000437810	IQCF3	1270	780	1244	565	826	9
ENST00000650142	None	None	None	None	2713	2974	0
ENST00000355852	PCBP4	2015	197	1408	27	201	19
ENST00000497653	PCBP4	559	240	559	70	244	19
ENST00000490063	PCBP4	510	252	510	82	256	19
ENST00000394965	ALAS1	2430	361	2283	15	120	6
ENST00000469224	ALAS1	2125	203	2125	23	128	6
ENST00000460680	BAP1	3937	473	2662	252	477	11
ENST00000537050	ITIH1	2493	465	2336	178	316	12
ENST00000537050	ITIH1	2493	465	2336	48	168	12
ENST00000483069	SFMBT1	617	335	617	86	287	8
ENST00000394752	SFMBT1	4548	384	2984	4	286	8
ENST00000334325	SPATA12	2413	676	1248	528	666	1
ENST00000445193	RPP14	7985	412	786	225	366	6
ENST00000394481	FAM107A	3465	560	994	290	428	7
ENST00000360997	FAM107A	3367	462	896	290	428	7
ENST00000498215	FOXP1	2400	324	2357	318	447	23
ENST00000471541	ZNF717	562	382	562	67	220	5
ENST00000333396	MINA	5347	584	1981	362	509	9
ENST00000331335	FILIP1L	4219	472	3873	187	469	10
ENST00000398326	FILIP1L	1712	472	1239	187	469	10
ENST00000354552	FILIP1L	3970	472	3879	187	469	10
ENST00000617607	TMPRSS7	2377	39	2192	19	133	5
ENST00000419127	TMPRSS7	2317	83	2236	63	177	5
ENST00000305815	SLC9C1	4172	254	3787	195	315	5
ENST00000487372	SLC9C1	3979	223	3612	164	284	5
ENST00000471295	SLC9C1	2733	89	814	30	150	5
ENST00000483401	IGSF11	864	687	864	559	787	10
ENST00000264235	GSK3B	7711	984	2246	242	350	4
ENST00000472475	GOLGB1	280	157	280	41	164	9
ENST00000472475	GOLGB1	280	157	280	96	201	9
ENST00000393434	ALDH1L1	3277	351	3059	62	194	18
ENST00000455064	ALDH1L1	3137	351	1868	62	194	18
ENST00000460368	ALDH1L1	1020	515	1020	62	194	18
ENST00000383572	TXNRD3NB	1131	480	881	48	195	3
ENST00000319153	DNAJB8	2465	1662	2360	152	674	2
ENST00000469083	DNAJB8	3365	2559	3257	761	899	2
ENST00000431818	IFT122	4414	897	4172	127	325	32
ENST00000296266	IFT122	4151	193	4071	24	222	32
ENST00000347300	IFT122	3841	207	3755	38	236	32
ENST00000440957	IFT122	4007	667	3765	127	325	32
ENST00000493720	UBA5	2058	593	1726	373	478	14
ENST00000356232	UBA5	3705	1073	2287	853	958	14
ENST00000468022	UBA5	662	424	662	9	114	14
ENST00000466490	SRPRB	2827	286	1101	45	174	5
ENST00000606977	CEP63	2800	329	2440	87	330	16
ENST00000512894	CEP63	566	378	566	136	379	16
ENST00000469964	IL20RB	1887	106	255	20	131	5
ENST00000329582	IL20RB	2047	250	1185	164	275	5
ENST00000464896	MRAS	1534	219	617	181	355	11
ENST00000309575	CHST2	4582	1385	2977	733	871	1
ENST00000460517	WWTR1	604	542	604	10	124	12
ENST00000360632	WWTR1	2103	341	1543	70	184	12
ENST00000295911	CLRN1	1444	393	755	240	381	6
ENST00000282486	MBNL1	6422	1843	3009	568	691	24
ENST00000355460	MBNL1	5941	1415	2527	140	263	24
ENST00000282488	MBNL1	6458	1843	3045	568	691	24
ENST00000497890	MME	324	279	324	91	187	18
ENST00000483851	SHOX2	1866	480	1439	377	518	6
ENST00000389589	SHOX2	2072	137	1204	34	175	6
ENST00000412423	SCHIP1	1425	1	1425	41	158	11
ENST00000638749	None	None	None	None	552	669	0
ENST00000496589	IFT80	3073	806	2728	7	97	27
ENST00000326448	IFT80	4306	434	2767	266	356	27
ENST00000357388	SMC4	5471	452	4318	224	314	27
ENST00000468789	MECOM	3691	389	3544	237	327	19
ENST00000464456	MECOM	5732	1202	4330	1050	1140	19
ENST00000433243	MECOM	3508	315	3473	163	253	19
ENST00000487503	MECOM	1533	1223	1533	1071	1161	19
ENST00000628990	MECOM	4835	270	3425	118	208	19
ENST00000460890	MECOM	1792	1482	1792	1330	1420	19
ENST00000475754	MECOM	580	378	580	101	191	19
ENST00000472280	MECOM	3593	270	3428	118	208	19
ENST00000484519	MECOM	638	263	638	111	201	19
ENST00000481315	MECOM	379	294	379	142	232	19
ENST00000494597	MECOM	1097	787	1097	635	725	19
ENST00000424913	TBL1XR1	592	374	592	157	307	36
ENST00000431421	TBL1XR1	550	385	550	168	318	36
ENST00000460419	B3GNT5	3368	741	1877	134	497	12
ENST00000465010	B3GNT5	1766	524	1660	25	184	12
ENST00000358241	RTP2	1346	430	1107	27	189	1
ENST00000452595	DLG1	3053	324	2690	77	182	28
