transcript	gene	length	cds_start	cds_stop	orf_start	orf_stop	tx_count_for_gene
ENST00000631679	DVL1	778	1	756	47	218	9
ENST00000378891	DVL1	2926	48	2060	988	1159	9
ENST00000378888	DVL1	3239	286	2373	1226	1397	9
ENST00000342753	MXRA8	2231	291	1316	970	1210	10
ENST00000445648	MXRA8	2001	40	1392	1022	1262	10
ENST00000309212	MXRA8	2273	32	1360	1014	1254	10
ENST00000477278	MXRA8	2728	515	1816	1470	1710	10
ENST00000481223	CCNL2	2815	6	716	2583	2763	20
ENST00000418865	CCNL2	3082	None	None	2855	3035	20
ENST00000482621	CCNL2	2059	1	139	1601	1781	20
ENST00000496007	CCNL2	4452	None	None	4011	4191	20
ENST00000463260	CCNL2	1941	None	None	1496	1676	20
ENST00000408952	CCNL2	1857	86	1129	1420	1600	20
ENST00000400809	CCNL2	2305	7	1569	1860	2040	20
ENST00000482365	CCNL2	2620	None	None	2182	2362	20
ENST00000480479	CCNL2	2792	None	None	1563	1743	20
ENST00000480479	CCNL2	2792	None	None	2304	2445	20
ENST00000480479	CCNL2	2792	None	None	2205	2301	20
ENST00000427211	ANKRD65	1976	638	1162	1543	1693	5
ENST00000520296	ANKRD65	1632	313	510	1199	1349	5
ENST00000537107	ANKRD65	2190	313	1512	1759	1909	5
ENST00000537107	ANKRD65	2190	313	1512	1619	1709	5
ENST00000520296	ANKRD65	1632	313	510	1059	1149	5
ENST00000454272	ANKRD65	1506	87	1286	1393	1483	5
ENST00000427211	ANKRD65	1976	638	1162	1403	1493	5
ENST00000476993	VWA1	4511	79	1416	3459	3687	4
ENST00000476993	VWA1	4511	79	1416	3019	3115	4
ENST00000476993	VWA1	4511	79	1416	374	506	4
ENST00000495558	VWA1	819	319	819	509	641	4
ENST00000476993	VWA1	4511	79	1416	806	929	4
ENST00000338660	VWA1	2147	227	421	559	682	4
ENST00000378785	ATAD3C	3859	996	2231	2048	2417	3
ENST00000472194	ATAD3B	4314	None	None	2181	2295	5
ENST00000485748	ATAD3B	3233	None	None	2746	2860	5
ENST00000308647	ATAD3B	2448	117	2063	1961	2075	5
ENST00000474481	ATAD3B	3367	None	None	2881	2995	5
ENST00000422725	FNDC10	2085	82	762	1545	1824	1
ENST00000355826	MIB2	3290	40	3210	956	1094	32
ENST00000378708	MIB2	3012	179	2938	792	930	32
ENST00000511502	MIB2	3326	None	None	905	1043	32
ENST00000479659	MIB2	4247	None	None	923	1061	32
ENST00000467597	MIB2	776	None	None	272	410	32
ENST00000505820	MIB2	3305	18	3230	976	1114	32
ENST00000514234	MIB2	2562	1	2488	339	477	32
ENST00000506488	MIB2	2997	162	1349	775	913	32
ENST00000507229	MIB2	2582	None	None	982	1120	32
ENST00000487053	MIB2	3252	352	2802	1007	1145	32
ENST00000489635	MIB2	3034	136	522	706	844	32
ENST00000520777	MIB2	3321	46	3246	1004	1142	32
ENST00000504599	MIB2	3311	328	3237	983	1121	32
ENST00000407249	CDK11B	2677	113	2500	351	486	9
ENST00000341028	CDK11B	881	None	None	358	493	9
ENST00000341832	CDK11B	2998	113	2461	351	486	9
ENST00000340677	CDK11B	2534	262	2508	398	533	9
ENST00000611150	CDK11B	2350	113	847	351	486	9
ENST00000615951	CDK11B	2227	113	724	351	486	9
ENST00000341028	CDK11B	881	None	None	73	280	9
ENST00000378638	CDK11A	2429	163	2403	14	221	23
ENST00000340677	CDK11B	2534	262	2508	113	320	9
ENST00000617444	SLC35E2B	6283	762	1979	3259	3373	5
ENST00000611123	SLC35E2B	5948	428	1645	2925	3039	5
ENST00000643905	None	None	None	None	3271	3385	0
ENST00000480991	SLC35E2B	2860	None	None	2140	2254	5
ENST00000611123	SLC35E2B	5948	428	1645	4410	4527	5
ENST00000617444	SLC35E2B	6283	762	1979	4744	4861	5
ENST00000617444	SLC35E2B	6283	762	1979	3662	4154	5
ENST00000611123	SLC35E2B	5948	428	1645	3328	3820	5
ENST00000611123	SLC35E2B	5948	428	1645	4378	4474	5
ENST00000617444	SLC35E2B	6283	762	1979	4712	4808	5
ENST00000617444	SLC35E2B	6283	762	1979	4644	4830	5
ENST00000611123	SLC35E2B	5948	428	1645	4310	4496	5
ENST00000356200	CDK11A	2653	236	2476	372	507	23
ENST00000404249	CDK11A	2449	81	2423	319	454	23
ENST00000460465	CDK11A	2333	81	1304	319	454	23
ENST00000509982	CDK11A	2306	15	1277	253	388	23
ENST00000378638	CDK11A	2429	163	2403	299	434	23
ENST00000355439	SLC35E2	2078	762	1502	1677	1797	3
ENST00000614300	SLC35E2B	2156	842	1582	1677	1797	5
ENST00000647043	None	None	None	None	1597	1717	0
ENST00000643905	None	None	None	None	3227	3563	0
ENST00000378609	GNB1	3132	333	1355	412	637	10
ENST00000437146	GNB1	423	101	423	180	405	10
ENST00000610897	GNB1	3145	345	1367	424	649	10
ENST00000434686	GNB1	684	188	684	267	492	10
ENST00000270720	CFAP74	4710	None	None	3240	3408	9
ENST00000378567	PRKCZ	2326	162	1940	424	697	26
ENST00000333854	RP11-181G12.2	1253	None	None	430	931	2
ENST00000444529	RP11-181G12.2	622	None	None	40	169	2
ENST00000414253	FAAP20	2216	27	614	1613	1715	15
ENST00000428120	FAAP20	2313	1	580	1710	1812	15
ENST00000400919	FAAP20	1413	27	596	793	895	15
ENST00000469733	FAAP20	2280	None	None	1663	1765	15
ENST00000400918	FAAP20	811	3	515	547	709	15
ENST00000428120	FAAP20	2313	1	580	689	908	15
ENST00000414253	FAAP20	2216	27	614	592	811	15
ENST00000378536	SKI	5613	73	2259	1652	1787	4
ENST00000378536	SKI	5613	73	2259	1082	1364	4
ENST00000605895	RER1	3044	134	724	2761	2914	9
ENST00000378513	RER1	3000	192	545	2719	2872	9
ENST00000462379	PLCH2	2341	None	None	1220	2027	8
ENST00000449969	PLCH2	5450	162	3551	4331	5138	8
ENST00000343889	PLCH2	6453	None	None	5330	6137	8
ENST00000473964	PLCH2	6986	None	None	5865	6672	8
ENST00000270722	PRDM16	8690	50	3880	4567	5224	10
ENST00000378391	PRDM16	5447	64	3837	4524	5181	10
ENST00000270722	PRDM16	8690	50	3880	6848	7160	10
ENST00000378391	PRDM16	5447	64	3837	4204	4312	10
ENST00000270722	PRDM16	8690	50	3880	4247	4355	10
ENST00000514189	PRDM16	4236	50	3583	4072	4180	10
ENST00000509860	PRDM16	3737	1	3255	3622	3730	10
ENST00000511072	PRDM16	4282	93	3629	4118	4226	10
ENST00000270722	PRDM16	8690	50	3880	4710	4908	10
ENST00000378391	PRDM16	5447	64	3837	4667	4865	10
ENST00000378378	ARHGEF16	3061	406	2535	482	626	7
ENST00000604074	TP73	4806	156	1367	4276	4600	14
ENST00000378288	TP73	5120	235	1998	4590	4914	14
ENST00000346387	TP73	4854	111	1733	4325	4649	14
ENST00000378295	TP73	5188	156	2066	4658	4982	14
ENST00000357733	TP73	4899	111	1778	4370	4694	14
ENST00000378230	CEP104	6424	326	3103	3279	3540	11
ENST00000378230	CEP104	6424	326	3103	5192	5285	11
ENST00000477548	DFFB	2923	132	443	1441	1618	12
ENST00000491998	DFFB	3152	324	1136	1670	1847	12
ENST00000378209	DFFB	3028	324	1340	1546	1723	12
ENST00000378206	DFFB	2842	88	330	1360	1537	12
ENST00000339350	DFFB	3005	132	482	1523	1700	12
ENST00000338895	DFFB	3105	338	1426	1632	1809	12
ENST00000475969	DFFB	2731	5	352	1249	1426	12
ENST00000468793	DFFB	2986	145	492	1504	1681	12
ENST00000474140	C1ORF174	3499	None	None	2838	3039	3
ENST00000486765	C1ORF174	2517	None	None	1856	2057	3
ENST00000361605	C1ORF174	1666	100	831	1005	1206	3
ENST00000378083	KCNAB2	4142	290	1537	349	589	19
ENST00000496404	CHD5	4966	1	3678	215	386	6
ENST00000262450	CHD5	9646	101	5965	315	486	6
ENST00000491020	CHD5	646	1	382	379	598	6
ENST00000262450	CHD5	9646	101	5965	4083	4302	6
ENST00000462991	CHD5	4396	1	3181	2130	2349	6
ENST00000377999	CHD5	3044	1	333	886	1105	6
ENST00000262450	CHD5	9646	101	5965	6111	6261	6
ENST00000475121	CHD5	558	1	271	311	461	6
ENST00000496404	CHD5	4966	1	3678	4729	4879	6
ENST00000462991	CHD5	4396	1	3181	4149	4299	6
ENST00000377999	CHD5	3044	1	333	2799	2949	6
ENST00000234875	RPL22	2078	40	426	1691	1823	8
ENST00000496676	RNF207	3020	None	None	1896	2253	9
ENST00000377939	RNF207	3924	128	2032	2306	2663	9
ENST00000343813	ICMT	4771	30	884	3377	3473	4
ENST00000343813	ICMT	4771	30	884	4524	4746	4
ENST00000377898	HES3	697	66	626	316	622	1
ENST00000377893	GPR153	4082	261	2090	268	427	1
ENST00000377893	GPR153	4082	261	2090	308	500	1
ENST00000361521	ACOT7	2429	993	2105	1726	1852	10
ENST00000377845	ACOT7	1432	56	1108	729	855	10
ENST00000608083	ACOT7	1403	59	1075	696	822	10
ENST00000377855	ACOT7	1614	148	1290	911	1037	10
ENST00000473466	ACOT7	868	30	868	616	742	10
ENST00000545482	ACOT7	1804	368	1480	1101	1227	10
ENST00000377842	ACOT7	1813	500	1489	1110	1236	10
ENST00000485036	TNFRSF25	1726	69	902	1080	1467	20
ENST00000480393	TNFRSF25	1706	69	830	1060	1447	20
ENST00000647810	None	None	None	None	759	1146	0
ENST00000473343	TNFRSF25	1591	None	None	945	1332	20
ENST00000351959	TNFRSF25	1441	69	1211	848	1235	20
ENST00000356876	TNFRSF25	1625	89	1342	979	1366	20
ENST00000513135	TNFRSF25	3483	None	None	2837	3224	20
ENST00000377782	TNFRSF25	1632	69	1349	986	1373	20
ENST00000453341	TNFRSF25	798	None	None	556	664	20
ENST00000513135	TNFRSF25	3483	None	None	1162	1270	20
ENST00000377725	PLEKHG5	3475	214	3006	2255	2507	12
ENST00000535355	PLEKHG5	4725	27	3254	2275	2527	12
ENST00000487949	PLEKHG5	2664	None	None	1244	1496	12
ENST00000377728	PLEKHG5	3613	152	3172	2193	2445	12
ENST00000489097	PLEKHG5	4968	None	None	2518	2770	12
ENST00000377732	PLEKHG5	3753	181	3312	2333	2585	12
ENST00000537245	PLEKHG5	4794	66	3323	2344	2596	12
ENST00000400913	PLEKHG5	4698	207	3227	2248	2500	12
ENST00000340850	PLEKHG5	4715	224	3244	2265	2517	12
ENST00000400915	PLEKHG5	3697	68	3256	2277	2529	12
ENST00000377748	PLEKHG5	5221	499	3750	2771	3023	12
ENST00000377740	PLEKHG5	3550	551	3109	225	402	12
ENST00000377748	PLEKHG5	5221	499	3750	173	350	12
ENST00000377725	PLEKHG5	3475	214	3006	2888	3035	12
ENST00000467612	KLHL21	1056	192	884	563	665	6
ENST00000377658	KLHL21	4487	53	1846	1525	1627	6
ENST00000496707	KLHL21	824	148	824	519	621	6
ENST00000054650	THAP3	1366	159	878	85	262	8
ENST00000472925	THAP3	983	1	694	97	289	8
ENST00000377627	THAP3	2053	28	555	135	327	8
ENST00000480647	THAP3	336	None	None	138	330	8
ENST00000054650	THAP3	1366	159	878	266	458	8
ENST00000303635	CAMTA1	8444	208	5229	2579	2708	16
ENST00000303635	CAMTA1	8444	208	5229	59	320	16
ENST00000463106	PER3	715	None	None	113	209	9
ENST00000614998	PER3	6261	265	3840	1253	1349	9
ENST00000613533	PER3	6318	265	3897	1253	1349	9
ENST00000377532	PER3	6279	225	3857	1213	1309	9
ENST00000361923	PER3	6203	176	3781	1161	1257	9
ENST00000377541	PER3	1524	282	1418	1267	1363	9
ENST00000615230	TNFRSF9	5970	262	1029	4689	4863	4
ENST00000474475	TNFRSF9	445	1	264	224	335	4
ENST00000469225	PARK7	711	1	483	573	705	10
ENST00000338639	PARK7	949	155	724	814	946	10
ENST00000493678	PARK7	1088	68	637	727	859	10
ENST00000377493	PARK7	795	59	568	658	790	10
ENST00000377482	ERRFI1	3104	225	1613	1159	1579	5
ENST00000400907	RERE	2973	75	1829	2545	2857	18
ENST00000377464	RERE	6733	156	4052	4768	5080	18
ENST00000337907	RERE	8026	636	5336	6052	6364	18
ENST00000337907	RERE	8026	636	5336	332	422	18
ENST00000476083	CA6	787	None	None	8	125	6
ENST00000377424	SLC2A5	4165	181	1686	1792	2020	10
ENST00000377411	GPR157	5265	144	1151	1707	1824	3
ENST00000377403	H6PD	9146	303	2678	6581	6977	3
ENST00000377403	H6PD	9146	303	2678	3644	3734	3
ENST00000602477	H6PD	5590	153	2561	3527	3617	3
ENST00000495451	H6PD	2701	None	None	306	396	3
ENST00000377403	H6PD	9146	303	2678	8703	8856	3
ENST00000377403	H6PD	9146	303	2678	6189	6282	3
ENST00000377403	H6PD	9146	303	2678	6079	6238	3
ENST00000416541	TMEM201	3447	1	1657	2423	2519	5
ENST00000340381	TMEM201	3776	10	2010	2776	2872	5
ENST00000340381	TMEM201	3776	10	2010	710	1067	5
ENST00000340305	TMEM201	3851	10	1188	710	1067	5
ENST00000416541	TMEM201	3447	1	1657	429	786	5
ENST00000361110	PIK3CD	3508	116	3322	1692	1827	8
ENST00000377346	PIK3CD	5203	196	3330	1700	1835	8
ENST00000628140	PIK3CD	5483	209	3415	1785	1920	8
ENST00000536656	PIK3CD	5483	209	3415	1785	1920	8
ENST00000543390	PIK3CD	3503	116	3322	1692	1827	8
ENST00000377346	PIK3CD	5203	196	3330	4945	5131	8
ENST00000628140	PIK3CD	5483	209	3415	5030	5216	8
ENST00000536656	PIK3CD	5483	209	3415	5030	5216	8
ENST00000377346	PIK3CD	5203	196	3330	4369	4546	8
ENST00000628140	PIK3CD	5483	209	3415	4454	4631	8
ENST00000536656	PIK3CD	5483	209	3415	4454	4631	8
ENST00000435891	CLSTN1	3829	1	2349	26	119	5
ENST00000361311	CLSTN1	4647	252	3167	787	880	5
ENST00000377298	CLSTN1	5221	794	3739	1359	1452	5
ENST00000650348	None	None	None	None	472	565	0
ENST00000477264	CLSTN1	2169	None	None	1705	1882	5
ENST00000377298	CLSTN1	5221	794	3739	4755	4932	5
ENST00000435891	CLSTN1	3829	1	2349	3365	3542	5
ENST00000650348	None	None	None	None	3992	4169	0
ENST00000361311	CLSTN1	4647	252	3167	4183	4360	5
ENST00000343090	UBE4B	5267	76	3984	4978	5251	10
ENST00000343090	UBE4B	5267	76	3984	95	203	10
ENST00000253251	UBE4B	4772	840	4361	859	967	10
ENST00000377153	UBE4B	1273	398	700	417	525	10
ENST00000343090	UBE4B	5267	76	3984	401	680	10
ENST00000253251	UBE4B	4772	840	4361	1165	1444	10
ENST00000377086	KIF1B	10669	203	5653	7131	7224	13
ENST00000622724	KIF1B	8588	1	5394	7199	7382	13
ENST00000620295	KIF1B	8624	1	5430	7235	7418	13
ENST00000377086	KIF1B	10669	203	5653	9273	9456	13
ENST00000377081	KIF1B	8746	80	5551	7356	7539	13
ENST00000377086	KIF1B	10669	203	5653	3951	4092	13
ENST00000620295	KIF1B	8624	1	5430	3707	3848	13
ENST00000622724	KIF1B	8588	1	5394	3671	3812	13
ENST00000483340	KIF1B	839	None	None	285	426	13
ENST00000465635	KIF1B	759	None	None	204	345	13
ENST00000263934	KIF1B	6816	154	5466	3764	3905	13
ENST00000377081	KIF1B	8746	80	5551	3828	3969	13
ENST00000377086	KIF1B	10669	203	5653	7260	7509	13
ENST00000377086	KIF1B	10669	203	5653	6031	6130	13
ENST00000263934	KIF1B	6816	154	5466	5844	5943	13
ENST00000635499	KIF1B	2098	1	1496	1874	1973	13
ENST00000377093	KIF1B	7565	154	3615	4255	4378	13
ENST00000377083	KIF1B	5885	314	3775	4415	4538	13
ENST00000377093	KIF1B	7565	154	3615	5972	6068	13
ENST00000356607	PEX14	1985	81	1214	1725	1863	4
ENST00000377022	CASZ1	7936	319	5598	3429	4119	9
ENST00000496432	CASZ1	3279	None	None	778	1126	9
ENST00000377022	CASZ1	7936	319	5598	890	1238	9
ENST00000344008	CASZ1	4405	321	3821	892	1240	9
ENST00000492173	CASZ1	2267	None	None	929	1277	9
ENST00000377004	C1ORF127	2761	1	2472	1709	1958	5
ENST00000520253	C1ORF127	2359	1	2327	1564	1813	5
ENST00000418570	C1ORF127	2265	1	1976	1213	1462	5
ENST00000476357	C1ORF127	2377	None	None	1326	1575	5
ENST00000377004	C1ORF127	2761	1	2472	66	159	5
ENST00000400897	MASP2	2439	17	2077	1068	1173	4
ENST00000376838	MTOR	4017	803	3067	3527	3647	7
ENST00000361445	MTOR	8677	78	7727	8187	8307	7
ENST00000361445	MTOR	8677	78	7727	3529	3664	7
ENST00000495435	MTOR	2356	None	None	641	764	7
ENST00000361445	MTOR	8677	78	7727	5212	5335	7
ENST00000376810	UBIAD1	3646	327	1343	3264	3369	4
ENST00000376810	UBIAD1	3646	327	1343	2878	2980	4
ENST00000251547	FBXO44	2903	83	850	1931	2030	9
ENST00000376770	FBXO44	3320	499	1266	2347	2446	9
ENST00000376768	FBXO44	959	103	873	398	842	9
ENST00000376753	FBXO6	1520	136	1017	1372	1474	3
ENST00000474239	FBXO6	803	None	None	570	702	3
ENST00000376753	FBXO6	1520	136	1017	452	584	3
ENST00000376692	MAD2L2	1118	189	824	847	1006	9
ENST00000235310	MAD2L2	1860	930	1565	1588	1747	9
ENST00000376672	MAD2L2	1002	78	752	775	934	9
ENST00000235310	MAD2L2	1860	930	1565	1637	1838	9
ENST00000376692	MAD2L2	1118	189	824	896	1097	9
ENST00000312793	C1ORF167	2624	1	2485	226	322	7
ENST00000484153	C1ORF167	2566	None	None	1121	1217	7
ENST00000433342	C1ORF167	4545	1	4407	2148	2244	7
ENST00000376585	MTHFR	5532	1053	3146	5705	6026	9
ENST00000376583	MTHFR	7044	1	2094	4653	4974	9
ENST00000376590	MTHFR	6232	185	2155	5576	5897	9
ENST00000376592	MTHFR	7057	130	2100	5980	6301	9
ENST00000376585	MTHFR	5532	1053	3146	4707	4815	9
ENST00000376590	MTHFR	6232	185	2155	4578	4686	9
ENST00000376583	MTHFR	7044	1	2094	3655	3763	9
ENST00000376592	MTHFR	7057	130	2100	4982	5090	9
ENST00000376592	MTHFR	7057	130	2100	6665	6884	9
ENST00000376585	MTHFR	5532	1053	3146	6390	6609	9
ENST00000376583	MTHFR	7044	1	2094	5338	5557	9
ENST00000376590	MTHFR	6232	185	2155	6261	6480	9
ENST00000376592	MTHFR	7057	130	2100	4143	4395	9
ENST00000376583	MTHFR	7044	1	2094	2816	3068	9
ENST00000376590	MTHFR	6232	185	2155	3739	3991	9
ENST00000376585	MTHFR	5532	1053	3146	3868	4120	9
ENST00000376583	MTHFR	7044	1	2094	5510	5705	9
ENST00000376585	MTHFR	5532	1053	3146	6562	6757	9
ENST00000376592	MTHFR	7057	130	2100	6837	7032	9
ENST00000376590	MTHFR	6232	185	2155	6433	6628	9
ENST00000376592	MTHFR	7057	130	2100	6480	6666	9
ENST00000376585	MTHFR	5532	1053	3146	6205	6391	9
ENST00000376583	MTHFR	7044	1	2094	5153	5339	9
ENST00000376590	MTHFR	6232	185	2155	6076	6262	9
ENST00000376585	MTHFR	5532	1053	3146	5587	5971	9
ENST00000376592	MTHFR	7057	130	2100	5862	6246	9
ENST00000376583	MTHFR	7044	1	2094	4535	4919	9
ENST00000376590	MTHFR	6232	185	2155	5458	5842	9
ENST00000312413	CLCN6	5631	168	2711	2173	2320	8
ENST00000346436	CLCN6	5583	53	2662	2124	2271	8
ENST00000400892	NPPA-AS1	936	None	None	2094	2241	2
ENST00000376496	CLCN6	2922	4	2865	2075	2222	8
ENST00000312413	CLCN6	5631	168	2711	4814	5009	8
ENST00000346436	CLCN6	5583	53	2662	4765	4960	8
ENST00000312413	CLCN6	5631	168	2711	3705	3918	8
ENST00000346436	CLCN6	5583	53	2662	3656	3869	8
ENST00000196061	PLOD1	2940	28	2211	1259	1397	9
ENST00000196061	PLOD1	2940	28	2211	2150	2468	9
ENST00000481933	PLOD1	2339	None	None	1550	1868	9
ENST00000444836	MFN2	4531	309	2582	3259	3379	6
ENST00000235329	MFN2	4539	323	2596	3273	3393	6
ENST00000444836	MFN2	4531	309	2582	2696	2843	6
ENST00000235329	MFN2	4539	323	2596	2710	2857	6
ENST00000417814	TNFRSF8	3593	468	1919	1852	2023	5
ENST00000413146	TNFRSF8	2363	289	687	620	791	5
ENST00000263932	TNFRSF8	3686	223	2010	1943	2114	5
ENST00000514649	TNFRSF8	2412	130	297	1759	1930	5
ENST00000479933	TNFRSF8	2120	None	None	377	548	5
ENST00000263932	TNFRSF8	3686	223	2010	311	479	5
ENST00000376259	TNFRSF1B	3683	90	1475	1928	2033	5
ENST00000492361	TNFRSF1B	3583	None	None	1828	1933	5
ENST00000543710	VPS13D	5676	None	None	2910	3042	14
ENST00000011700	VPS13D	10969	1	9632	9889	10021	14
ENST00000543766	VPS13D	3838	681	815	1072	1204	14
ENST00000620676	VPS13D	16320	131	13297	13591	13723	14
ENST00000613099	VPS13D	16245	131	13222	13479	13611	14
ENST00000646411	None	None	None	None	3457	3589	0
ENST00000613099	VPS13D	16245	131	13222	423	552	14
ENST00000620676	VPS13D	16320	131	13297	460	589	14
ENST00000620676	VPS13D	16320	131	13297	628	724	14
ENST00000476169	VPS13D	475	None	None	108	204	14
ENST00000613099	VPS13D	16245	131	13222	591	687	14
ENST00000613099	VPS13D	16245	131	13222	2391	2556	14
ENST00000620676	VPS13D	16320	131	13297	2428	2593	14
ENST00000543710	VPS13D	5676	None	None	4936	5104	14
ENST00000620676	VPS13D	16320	131	13297	15617	15785	14
ENST00000543766	VPS13D	3838	681	815	3098	3266	14
ENST00000613099	VPS13D	16245	131	13222	15505	15673	14
ENST00000543766	VPS13D	3838	681	815	2480	2708	14
ENST00000620676	VPS13D	16320	131	13297	14999	15227	14
ENST00000543710	VPS13D	5676	None	None	4318	4546	14
ENST00000613099	VPS13D	16245	131	13222	14887	15115	14
ENST00000620146	AADACL3	3832	None	None	3370	3493	2
ENST00000620146	AADACL3	3832	None	None	1703	1838	2
ENST00000359318	AADACL3	3662	35	1258	1892	2027	2
ENST00000619922	PRAMEF11	1845	72	1508	805	904	1
ENST00000235349	PRAMEF4	1828	72	1508	805	904	1
ENST00000376152	PRAMEF15	1865	95	1531	828	927	2
ENST00000638454	None	None	None	None	1203	1314	0
ENST00000294489	PDPN	3104	342	1058	1950	2043	12
ENST00000621990	PDPN	2738	204	692	1584	1677	12
ENST00000617617	PDPN	2808	50	766	1658	1751	12
ENST00000376057	PDPN	2801	45	755	1647	1740	12
ENST00000376048	PRDM2	2688	127	807	1933	2029	14
ENST00000235372	PRDM2	7957	857	6013	7188	7284	14
ENST00000636203	KAZN	6874	875	3466	5327	5567	9
ENST00000376030	KAZN	6030	295	2622	4483	4723	9
ENST00000376030	KAZN	6030	295	2622	2510	2654	9
ENST00000636203	KAZN	6874	875	3466	3354	3498	9
ENST00000400797	KAZN	1295	312	1295	517	730	9
ENST00000400798	KAZN	3643	302	1285	507	720	9
ENST00000491547	KAZN	5592	None	None	782	995	9
ENST00000636203	KAZN	6874	875	3466	1626	1839	9
ENST00000376030	KAZN	6030	295	2622	782	995	9
ENST00000503743	KAZN	1475	210	1475	697	910	9
ENST00000361144	KAZN	3838	236	1483	705	918	9
ENST00000376028	KAZN	800	302	800	507	720	9
ENST00000400798	KAZN	3643	302	1285	2622	2754	9
ENST00000361144	KAZN	3838	236	1483	2820	2952	9
ENST00000434578	TMEM51	1861	454	861	1165	1273	6
ENST00000376008	TMEM51	1931	433	1194	1148	1256	6
ENST00000376014	TMEM51	1843	486	1247	1201	1309	6
ENST00000428417	TMEM51	1942	447	1208	1162	1270	6
ENST00000400796	TMEM51	1842	416	1177	1131	1239	6
ENST00000358897	FHAD1	5090	139	4377	1308	1437	22
ENST00000375996	FHAD1	1568	None	None	314	443	22
ENST00000375997	FHAD1	1459	26	976	313	442	22
ENST00000375998	FHAD1	4355	1	4239	1170	1299	22
ENST00000375980	EFHD2	2419	78	800	2245	2401	2
ENST00000546424	CASP9	4463	246	1511	3111	3369	11
